X,Y,tourism,building,name,ele,website,operator,amenity,phone,wikidata,addr:city,addr:country,addr:postcode,addr:street,addr:housenumber,wikipedia,email,internet_access,capacity,cuisine,alt_name,reg_name,opening_hours,name:de,roof:shape,description,outdoor_seating,smoking,url,addr:place,reservation,wheelchair,beds,contact:phone,mapillary,old_name,access,building:levels,contact:email,contact:website
6.91325261591369,46.0390745341682,alpine_hut,yes,Refuge de Loriaz,2020,,Mairie de Vallorcine,,,,,,,,,,,,49,,,,,,,,,,,,recommended,,,+33 4 50 18 04 91,,,yes,,refugedeloriaz@gmail.com,http://loriaz.fr/
6.94744019493599,46.0015819537311,alpine_hut,yes,Refuge du Tour (CAF),1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.98664234629493,45.9966943696906,alpine_hut,yes,Refuge Albert 1er,2711,https://refugealbert1er.ffcam.fr/,Club Alpin Français,,,Q795102,,,,,,fr:Refuge Albert Ier,,,140,,,,,Prinz-Albert-Hütte,,"30 more places available as ""not guarded",,,,,recommended,,,,,,,,,
6.97006837664851,46.0266941198808,alpine_hut,yes,Chalet du Col de Balme,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.90041080558455,46.062477750396,alpine_hut,yes,La cabane du Vieux Emosson,,http://www.cabaneduvieux.ch,,restaurant,+41 79 342 95 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.79194937625304,46.2674781082179,alpine_hut,house,Refuge de Trébentaz,1900,,,,,,,,,Route de la Ravine,238,,,no,,,,,,,,,,,,,yes,,28,+33 4 50 73 26 17,,,,,norbertthoule@hotmail.fr,http://refugetrebentaz.canalblog.com/
6.83232131264648,46.3450737999383,alpine_hut,yes,Refuge La Vouivre,,,,,,,Vouvry,,1896,Chemin de Tanay,19,,,,,,,,,,,,,,,,,,,,,,,,,
6.88997438113597,46.2653812994809,alpine_hut,house,Refuge de Charlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.01447821642809,46.3663587589809,alpine_hut,yes,Refuge de Mayen,,,,,,,Leysin,,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.09873105,45.92015565,alpine_hut,yes,Gîte de la Léchère,,https://www.lalechere.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.06908919694845,45.9272551996809,alpine_hut,yes,Bivouac du Dolent,2667,,"CAS, section de la Gruyère - Bulle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
